"","Survived","Pclass","Sex","Title"
"1","0","3","male","Mr"
"2","1","1","female","Mrs"
"3","1","3","female","Miss"
"4","1","1","female","Mrs"
"5","0","3","male","Mr"
"6","0","3","male","Mr"
"7","0","1","male","Mr"
"8","0","3","male","Master"
"9","1","3","female","Mrs"
"10","1","2","female","Mrs"
"11","1","3","female","Miss"
"12","1","1","female","Miss"
"13","0","3","male","Mr"
"14","0","3","male","Mr"
"15","0","3","female","Miss"
"16","1","2","female","Mrs"
"17","0","3","male","Master"
"18","1","2","male","Mr"
"19","0","3","female","Mrs"
"20","1","3","female","Mrs"
"21","0","2","male","Mr"
"22","1","2","male","Mr"
"23","1","3","female","Miss"
"24","1","1","male","Mr"
"25","0","3","female","Miss"
"26","1","3","female","Mrs"
"27","0","3","male","Mr"
"28","0","1","male","Mr"
"29","1","3","female","Miss"
"30","0","3","male","Mr"
"31","0","1","male","Mr"
"32","1","1","female","Mrs"
"33","1","3","female","Miss"
"34","0","2","male","Mr"
"35","0","1","male","Mr"
"36","0","1","male","Mr"
"37","1","3","male","Mr"
"38","0","3","male","Mr"
"39","0","3","female","Miss"
"40","1","3","female","Miss"
"41","0","3","female","Mrs"
"42","0","2","female","Mrs"
"43","0","3","male","Mr"
"44","1","2","female","Miss"
"45","1","3","female","Miss"
"46","0","3","male","Mr"
"47","0","3","male","Mr"
"48","1","3","female","Miss"
"49","0","3","male","Mr"
"50","0","3","female","Mrs"
"51","0","3","male","Master"
"52","0","3","male","Mr"
"53","1","1","female","Mrs"
"54","1","2","female","Mrs"
"55","0","1","male","Mr"
"56","1","1","male","Mr"
"57","1","2","female","Miss"
"58","0","3","male","Mr"
"59","1","2","female","Miss"
"60","0","3","male","Master"
"61","0","3","male","Mr"
"62","1","1","female","Miss"
"63","0","1","male","Mr"
"64","0","3","male","Master"
"65","0","1","male","Mr"
"66","1","3","male","Master"
"67","1","2","female","Mrs"
"68","0","3","male","Mr"
"69","1","3","female","Miss"
"70","0","3","male","Mr"
"71","0","2","male","Mr"
"72","0","3","female","Miss"
"73","0","2","male","Mr"
"74","0","3","male","Mr"
"75","1","3","male","Mr"
"76","0","3","male","Mr"
"77","0","3","male","Mr"
"78","0","3","male","Mr"
"79","1","2","male","Master"
"80","1","3","female","Miss"
"81","0","3","male","Mr"
"82","1","3","male","Mr"
"83","1","3","female","Miss"
"84","0","1","male","Mr"
"85","1","2","female","Miss"
"86","1","3","female","Mrs"
"87","0","3","male","Mr"
"88","0","3","male","Mr"
"89","1","1","female","Miss"
"90","0","3","male","Mr"
"91","0","3","male","Mr"
"92","0","3","male","Mr"
"93","0","1","male","Mr"
"94","0","3","male","Mr"
"95","0","3","male","Mr"
"96","0","3","male","Mr"
"97","0","1","male","Mr"
"98","1","1","male","Mr"
"99","1","2","female","Mrs"
"100","0","2","male","Mr"
"101","0","3","female","Miss"
"102","0","3","male","Mr"
"103","0","1","male","Mr"
"104","0","3","male","Mr"
"105","0","3","male","Mr"
"106","0","3","male","Mr"
"107","1","3","female","Miss"
"108","1","3","male","Mr"
"109","0","3","male","Mr"
"110","1","3","female","Miss"
"111","0","1","male","Mr"
"112","0","3","female","Miss"
"113","0","3","male","Mr"
"114","0","3","female","Miss"
"115","0","3","female","Miss"
"116","0","3","male","Mr"
"117","0","3","male","Mr"
"118","0","2","male","Mr"
"119","0","1","male","Mr"
"120","0","3","female","Miss"
"121","0","2","male","Mr"
"122","0","3","male","Mr"
"123","0","2","male","Mr"
"124","1","2","female","Miss"
"125","0","1","male","Mr"
"126","1","3","male","Master"
"127","0","3","male","Mr"
"128","1","3","male","Mr"
"129","1","3","female","Miss"
"130","0","3","male","Mr"
"131","0","3","male","Mr"
"132","0","3","male","Mr"
"133","0","3","female","Mrs"
"134","1","2","female","Mrs"
"135","0","2","male","Mr"
"136","0","2","male","Mr"
"137","1","1","female","Miss"
"138","0","1","male","Mr"
"139","0","3","male","Mr"
"140","0","1","male","Mr"
"141","0","3","female","Mrs"
"142","1","3","female","Miss"
"143","1","3","female","Mrs"
"144","0","3","male","Mr"
"145","0","2","male","Mr"
"146","0","2","male","Mr"
"147","1","3","male","Mr"
"148","0","3","female","Miss"
"149","0","2","male","Mr"
"150","0","2","male","Mr"
"151","0","2","male","Mr"
"152","1","1","female","Mrs"
"153","0","3","male","Mr"
"154","0","3","male","Mr"
"155","0","3","male","Mr"
"156","0","1","male","Mr"
"157","1","3","female","Miss"
"158","0","3","male","Mr"
"159","0","3","male","Mr"
"160","0","3","male","Master"
"161","0","3","male","Mr"
"162","1","2","female","Mrs"
"163","0","3","male","Mr"
"164","0","3","male","Mr"
"165","0","3","male","Master"
"166","1","3","male","Master"
"167","1","1","female","Mrs"
"168","0","3","female","Mrs"
"169","0","1","male","Mr"
"170","0","3","male","Mr"
